review,label,language,rating
سچ تو یہ ہے کہ، شاندار بناوٹ اور استعمال میں انتہائی آسان انٹرفیس۔ مایوسی ہوئی۔,2,ur,5
Sachi baat to ye hai k Extremely low quality. Description bilkul galat thi iski.,0,ur_roman,1
میرا ذاتی تجربہ ہے کہ، بہترین بیٹری لائف اور شاندار ڈسپلے۔ مجھے یہ پسند آیا! شکریہ۔,2,ur,5
یہ پروڈکٹ واقعی شاندار ہے، میں اس کی انتہائی سفارش کرتا ہوں! مایوسی ہوئی۔,2,ur,4
سچ تو یہ ہے کہ، کسٹمر سپورٹ کا رویہ خراب تھا اور پروڈکٹ ٹوٹی ہوئی ملی۔ شکریہ۔,0,ur,1
"मेरा मानना है कि अब तक की सबसे खराब खरीद, पैसे की पूरी बर्बादी। बहुत अच्छा लगा।",0,hi,2
"Sachi baat to ye hai k Average performance hai, battery timing bhi normal hi hai. Boht pyari product hai.",1,ur_roman,3
سچ تو یہ ہے کہ، اس چیز سے بالکل پیار ہو گیا ہے! بہترین کام کرتی ہے۔ بہت زبردست پروڈکٹ ہے۔,2,ur,5
Battery drains in less than 2 hours. Do not buy this.,0,en,2
पांच सितारे! मेरी उम्मीदों से बढ़कर है।,2,hi,5
"Mera opinion ye hai k Ye product bohat achi hai, main iski high recommendation deta hoon! Don't buy.",2,ur_roman,4
میرا ذاتی تجربہ ہے کہ، بہت ہی ناقص پروڈکٹ ہے، پہلے ہی دن خراب ہو گئی! مایوسی ہوئی۔,0,ur,2
"मेरा मानना है कि बहुत हल्का, पोर्टेबल और अत्यधिक टिकाऊ। धन्यवाद!",2,hi,4
Sachi baat to ye hai k Work karta hai par feel kafi cheap quality ki hai. Paisa vasool.,1,ur_roman,3
Mera opinion ye hai k Extremely low quality. Description bilkul galat thi iski. Boht pyari product hai.,0,ur_roman,2
"सच कहूं तो, इस आइटम से बिल्कुल प्यार है! बहुत अच्छा काम करता है। धन्यवाद!",2,hi,5
"सच कहूं तो, अत्यंत निम्न गुणवत्ता। विवरण पूरी तरह से भ्रामक था। बिल्कुल पसंद नहीं आया।",0,hi,2
"मेरा मानना है कि गुणवत्ता बहुत खराब है, बिल्कुल भी काम नहीं करता। धन्यवाद!",0,hi,1
"बस नियमित गुणवत्ता, विज्ञापन के अनुसार काम करता है।",1,hi,3
"Very lightweight, portable, and extremely durable. Recommended.",2,en,4
Mera opinion ye hai k Absolutely love this item! Bohot hi achi performance hai. Boht pyari product hai.,2,ur_roman,5
"Actually, Superb build quality and very user-friendly interface. Recommended.",2,en,5
Mera opinion ye hai k Build quality kamaal ki hai aur use karna boht easy hai.!,2,ur_roman,5
My honest review: Best purchase I have made this year. High quality.!,2,en,4
"Honestly, Satisfactory purchase. Not bad, not great. Disappointed.",1,en,3
"सच कहूं तो, इस साल की मेरी सबसे अच्छी खरीद। उच्च गुणवत्ता।।",2,hi,5
Worst quality ever. Regret ho raha hai paise kharab karke.,0,ur_roman,1
بس عام معیار کا ہے، جیسا بتایا گیا تھا ویسا ہی ہے۔۔,1,ur,3
"सच कहूं तो, गुणवत्ता बहुत खराब है, बिल्कुल भी काम नहीं करता। धन्यवाद!",0,hi,1
نارمل پروڈکٹ ہے، روزمرہ کام کے لیے مناسب ہے۔,1,ur,3
میرا ذاتی تجربہ ہے کہ، بیٹری 2 گھنٹے بھی نہیں چلتی۔ اسے بالکل مت خریدیں۔ بہت زبردست پروڈکٹ ہے۔,0,ur,2
"Honestly, Extremely low quality. The description was completely misleading.!",0,en,1
मेरा मानना है कि साधारण उत्पाद है। काम चल जाता है। धन्यवाद!,1,hi,3
میرا ذاتی تجربہ ہے کہ، بہترین بیٹری لائف اور شاندار ڈسپلے۔ مجھے یہ پسند آیا!۔,2,ur,5
मेरा मानना है कि बहुत ही घटिया अनुभव। एक हफ्ते के बाद काम करना बंद कर दिया। बहुत अच्छा लगा।,0,hi,2
"सच कहूं तो, उत्पाद सस्ता दिखता है और काम और भी खराब करता है।।",0,hi,1
"औसत प्रदर्शन, औसत बैटरी लाइफ। ठीक है। बिल्कुल पसंद नहीं आया।",1,hi,3
इस साल की मेरी सबसे अच्छी खरीद। उच्च गुणवत्ता।,2,hi,5
"Honestly, Mediocre product. It works but feels cheap.",1,en,3
Mera opinion ye hai k Price ke hisab se behtareen quality hai. Delivery bhi fast thi. Paisa vasool.,2,ur_roman,4
मेरा मानना है कि इस आइटम से बिल्कुल प्यार है! बहुत अच्छा काम करता है।।,2,hi,4
"सच कहूं तो, अब तक की सबसे खराब खरीद, पैसे की पूरी बर्बादी। बिल्कुल पसंद नहीं आया।",0,hi,1
My honest review: Average experience. The product works but has some minor issues. Disappointed.,1,en,3
"संतोषजनक खरीद। न खराब, न बहुत अच्छा। धन्यवाद!",1,hi,3
"Honestly, This product is absolutely amazing, highly recommended! Really nice.",2,en,5
میرا ذاتی تجربہ ہے کہ، بہت ہی گھٹیا کوالٹی۔ تفصیلات بالکل جھوٹ پر مبنی تھیں۔ مایوسی ہوئی۔,0,ur,1
سچ تو یہ ہے کہ، اوسط تجربہ رہا۔ پروڈکٹ کام کرتی ہے لیکن کچھ معمولی مسائل ہیں۔ مایوسی ہوئی۔,1,ur,3
ٹھیک ہے لیکن ڈیزائن اور کوالٹی مزید بہتر ہو سکتی تھی۔ بہت زبردست پروڈکٹ ہے۔,1,ur,3
मेरा मानना है कि औसत अनुभव। उत्पाद काम करता है लेकिन कुछ छोटी समस्याएं हैं।।,1,hi,3
"Honestly, Mediocre product. It works but feels cheap. Really nice.",1,en,3
"Boht lightweight hai, easily carry ho jata hai aur solid hai.",2,ur_roman,4
मेरा मानना है कि कीमत के हिसाब से बेहतरीन गुणवत्ता। डिलीवरी भी तेज थी।।,2,hi,5
"It is okay, nothing special but works fine. Really nice.",1,en,3
میرا ذاتی تجربہ ہے کہ، پروڈکٹ دکھنے میں بھی سستی ہے اور کام بھی نہیں کرتی۔ بہت زبردست پروڈکٹ ہے۔,0,ur,2
Extremely low quality. The description was completely misleading.,0,en,1
میرا ذاتی تجربہ ہے کہ، پانچ ستارے! میری توقعات سے بڑھ کر نکلا۔ بہت زبردست پروڈکٹ ہے۔,2,ur,4
"Terrible product, broke on the first day of use! Really nice.",0,en,2
Sachi baat to ye hai k Extremely low quality. Description bilkul galat thi iski. Paisa vasool.,0,ur_roman,1
"Sachi baat to ye hai k Average performance hai, battery timing bhi normal hi hai.!",1,ur_roman,3
"Honestly, Really satisfied with my purchase. Will buy again.",2,en,4
Mera opinion ye hai k Best purchase hai meri is saal ki. Maza aa gaya use karke. Paisa vasool.,2,ur_roman,4
कीमत के हिसाब से बेहतरीन गुणवत्ता। डिलीवरी भी तेज थी।,2,hi,5
औसत अनुभव। उत्पाद काम करता है लेकिन कुछ छोटी समस्याएं हैं।,1,hi,3
"संतोषजनक खरीद। न खराब, न बहुत अच्छा।",1,hi,3
My honest review: Great battery life and crystal clear screen. Love it! Recommended.,2,en,5
Mera opinion ye hai k Battery backup boht zabardast hai aur screen quality bhi kamal hai.!,2,ur_roman,5
سچ تو یہ ہے کہ، قیمت کے لحاظ سے بہترین معیار۔ تیز ڈیلیوری بھی۔ بہت زبردست پروڈکٹ ہے۔,2,ur,4
پیسے ضائع ہو گئے، بالکل بھی نہ خریدیں۔ سخت مایوسی ہوئی۔,0,ur,1
Worst quality ever. Regret ho raha hai paise kharab karke. Paisa vasool.,0,ur_roman,2
मेरा मानना है कि अत्यंत निम्न गुणवत्ता। विवरण पूरी तरह से भ्रामक था। धन्यवाद!,0,hi,2
"Price ke hisab se okay product hai, zyada umeed mat rakhein. Paisa vasool.",1,ur_roman,3
"कीमत के हिसाब से ठीक है, लेकिन बहुत उम्मीद न करें।।",1,hi,3
Do not waste your money on this garbage.,0,en,1
"Actually, It is fine for basic use, but professional users might want more.!",1,en,3
My honest review: Extremely low quality. The description was completely misleading. Recommended.,0,en,2
"सच कहूं तो, कीमत के हिसाब से बेहतरीन गुणवत्ता। डिलीवरी भी तेज थी। बहुत अच्छा लगा।",2,hi,5
