review,label,language,rating
Very disappointed with the quality. Highly regret buying.,0,en,2
میرا ذاتی تجربہ ہے کہ، بیٹری 2 گھنٹے بھی نہیں چلتی۔ اسے بالکل مت خریدیں۔ مایوسی ہوئی۔,0,ur,1
"Battery 2 ghante bhi nahi chalti. Waste of money, don't buy.",0,ur_roman,1
My honest review: Average experience. The product works but has some minor issues. Recommended.,1,en,3
"सच कहूं तो, पांच सितारे! मेरी उम्मीदों से बढ़कर है।।",2,hi,5
"सच कहूं तो, अत्यंत निम्न गुणवत्ता। विवरण पूरी तरह से भ्रामक था। बहुत अच्छा लगा।",0,hi,1
Excellent quality for the price. Fast delivery too.,2,en,5
"Sachi baat to ye hai k Zabardast product hai, boht pasand aya. Zaroor dobara loonga. Don't buy.",2,ur_roman,4
"Honestly, Average experience. The product works but has some minor issues.!",1,en,3
سچ تو یہ ہے کہ، اس سال کی میری بہترین خریداری۔ اعلیٰ ترین معیار۔۔,2,ur,4
"Decent product, build quality could be better.",1,en,3
Battery drains in less than 2 hours. Do not buy this.!,0,en,1
"Worst purchase ever, absolute waste of money. Disappointed.",0,en,1
Sachi baat to ye hai k Product boht sasti lagti hai aur kaam bilkul nahi karti. Boht pyari product hai.,0,ur_roman,1
میرا ذاتی تجربہ ہے کہ، بس عام معیار کا ہے، جیسا بتایا گیا تھا ویسا ہی ہے۔۔,1,ur,3
"यह बुनियादी उपयोग के लिए ठीक है, लेकिन दूसरों को निराशा हो सकती है। धन्यवाद!",1,hi,3
Five stars! Exceeded my expectations in every way.,2,en,5
"औसत प्रदर्शन, औसत बैटरी लाइफ। ठीक है। बिल्कुल पसंद नहीं आया।",1,hi,3
"सच कहूं तो, पांच सितारे! मेरी उम्मीदों से बढ़कर है। बिल्कुल पसंद नहीं आया।",2,hi,5
Shipping was fast but the product is just average. Recommended.,1,en,3
"Actually, This product is absolutely amazing, highly recommended! Disappointed.",2,en,5
Product boht sasti lagti hai aur kaam bilkul nahi karti. Paisa vasool.,0,ur_roman,2
"Price ke hisab se okay product hai, zyada umeed mat rakhein.",1,ur_roman,3
Broken item mili aur support walon ne response bhi nahi diya. Don't buy.,0,ur_roman,1
سچ تو یہ ہے کہ، بس عام معیار کا ہے، جیسا بتایا گیا تھا ویسا ہی ہے۔ شکریہ۔,1,ur,3
"Price ke hisab se okay product hai, zyada umeed mat rakhein. Paisa vasool.",1,ur_roman,3
"My honest review: Satisfactory purchase. Not bad, not great.",1,en,3
The product looks cheap and functions even worse.,0,en,1
"Mera opinion ye hai k Paisa waste hai, bilkul mat khareedein. Boht afsos hua buy karke. Don't buy.",0,ur_roman,2
سچ تو یہ ہے کہ، پروڈکٹ دکھنے میں بھی سستی ہے اور کام بھی نہیں کرتی۔ شکریہ۔,0,ur,1
Broken item mili aur support walon ne response bhi nahi diya.,0,ur_roman,1
मेरा मानना है कि कीमत के हिसाब से बेहतरीन गुणवत्ता। डिलीवरी भी तेज थी।।,2,hi,5
"It is fine for basic use, but professional users might want more. Recommended.",1,en,3
"अब तक की सबसे खराब खरीद, पैसे की पूरी बर्बादी। बहुत अच्छा लगा।",0,hi,1
"मेरा मानना है कि बहुत हल्का, पोर्टेबल और अत्यधिक टिकाऊ। धन्यवाद!",2,hi,5
"Mera opinion ye hai k Ye product bohat achi hai, main iski high recommendation deta hoon!",2,ur_roman,5
My honest review: Extremely low quality. The description was completely misleading. Really nice.,0,en,2
"Bas regular quality hai, jesa bataya gaya tha wesa hi kaam karta hai.",1,ur_roman,3
اس کچرے پر اپنے پیسے برباد مت کریں۔ بہت زبردست پروڈکٹ ہے۔,0,ur,1
बहुत ही घटिया अनुभव। एक हफ्ते के बाद काम करना बंद कर दिया।,0,hi,1
سچ تو یہ ہے کہ، اوسط کارکردگی ہے، کوئی خاص بات نہیں۔ ٹھیک ہے۔ مایوسی ہوئی۔,1,ur,3
Absolutely love this item! Works like a charm.,2,en,4
"Sachi baat to ye hai k Normal quality hai, build quality thodi aur behtar ho sakti thi.!",1,ur_roman,3
"Poor design hai, use karne me boht mushkil ho rahi hai.",0,ur_roman,2
My honest review: Superb build quality and very user-friendly interface. Disappointed.,2,en,5
पांच सितारे! मेरी उम्मीदों से बढ़कर है। धन्यवाद!,2,hi,5
Mera opinion ye hai k Build quality kamaal ki hai aur use karna boht easy hai. Boht pyari product hai.,2,ur_roman,5
"Terrible product, broke on the first day of use! Really nice.",0,en,2
"Honestly, Average performance, average battery life. Recommended.",1,en,3
"Boht lightweight hai, easily carry ho jata hai aur solid hai.",2,ur_roman,4
साधारण उत्पाद है। काम चल जाता है।,1,hi,3
"सच कहूं तो, साधारण उत्पाद है। काम चल जाता है। बहुत अच्छा लगा।",1,hi,3
"My honest review: Terrible product, broke on the first day of use!",0,en,2
"Paisa waste hai, bilkul mat khareedein. Boht afsos hua buy karke.",0,ur_roman,1
"Mera opinion ye hai k Is kachray pe apna paisa zaya mat karein, bekar hai. Paisa vasool.",0,ur_roman,1
ٹھیک ہے لیکن ڈیزائن اور کوالٹی مزید بہتر ہو سکتی تھی۔ شکریہ۔,1,ur,3
"ठीक उत्पाद है, बिल्ड क्वालिटी बेहतर हो सकती थी। बहुत अच्छा लगा।",1,hi,3
अपनी खरीद से वास्तव में संतुष्ट हूँ। फिर से खरीदूँगा।,2,hi,4
My honest review: The product looks cheap and functions even worse. Really nice.,0,en,1
इस साल की मेरी सबसे अच्छी खरीद। उच्च गुणवत्ता।,2,hi,5
My honest review: Average experience. The product works but has some minor issues. Disappointed.,1,en,3
मेरा मानना है कि इस आइटम से बिल्कुल प्यार है! बहुत अच्छा काम करता है। धन्यवाद!,2,hi,5
سچ تو یہ ہے کہ، اس چیز سے بالکل پیار ہو گیا ہے! بہترین کام کرتی ہے۔۔,2,ur,5
"Price ke hisab se okay product hai, zyada umeed mat rakhein.",1,ur_roman,3
"Mera opinion ye hai k Normal sa phone hai, simple requirements ke liye standard hai. Don't buy.",1,ur_roman,3
"Satisfactory purchase. Not bad, not great.",1,en,3
Worst quality ever. Regret ho raha hai paise kharab karke. Don't buy.,0,ur_roman,2
Product boht sasti lagti hai aur kaam bilkul nahi karti.,0,ur_roman,2
"Actually, It is fine for basic use, but professional users might want more.!",1,en,3
میرا ذاتی تجربہ ہے کہ، اپنی خریداری سے واقعی مطمئن ہوں۔ دوبارہ خریدوں گا۔ بہت زبردست پروڈکٹ ہے۔,2,ur,5
یہ پروڈکٹ واقعی شاندار ہے، میں اس کی انتہائی سفارش کرتا ہوں! مایوسی ہوئی۔,2,ur,4
My honest review: Great battery life and crystal clear screen. Love it!,2,en,5
ناقص ڈیزائن، استعمال کرنے میں بہت تکلیف دہ۔ واپس کر رہا ہوں۔ مایوسی ہوئی۔,0,ur,2
سچ تو یہ ہے کہ، تسلی بخش خریداری۔ نہ برا ہے نہ بہت اچھا۔ شکریہ۔,1,ur,3
سچ تو یہ ہے کہ، انتہائی خراب تجربہ۔ ایک ہفتے کے بعد چلنا بند ہو گیا۔ مایوسی ہوئی۔,0,ur,1
"Sachi baat to ye hai k Price ke hisab se okay product hai, zyada umeed mat rakhein. Paisa vasool.",1,ur_roman,3
سچ تو یہ ہے کہ، قیمت کے لحاظ سے بہترین معیار۔ تیز ڈیلیوری بھی۔۔,2,ur,5
